"Group.1","iTRAQ8.113","iTRAQ8.114","iTRAQ8.115","iTRAQ8.116","iTRAQ8.117","iTRAQ8.118","iTRAQ8.119","iTRAQ8.121","perox.2015","perox.2017","mito.2015","mito.2017","nucleus.2015","nucleus.2017","golgi.2015","golgi.2017","ER.2015","ER.2017","PM.2015","PM.2017"
"5330417C22Rik",54620.0966045287,1332.04182456757,6070.74687317029,68558.0541687464,18314.7427292869,7459.39102892833,23473.4983910703,19697.6183038265,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5430419D17Rik",124641.757953638,86920.3402123044,35455.450220817,81360.0020328604,131889.062269162,22941.9582225812,76996.5316446078,47420.9974440295,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5730508B09Rik",1273197.64720979,285602.506492346,198758.720570296,811777.195092563,281307.145409407,105104.876239224,393267.70149867,332645.825688952,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5830411N06Rik",228026.902335058,86764.8837860248,53851.0551731975,185777.062440127,65847.8572308757,114692.301252126,93240.5009201564,116483.346568692,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5830418K08Rik",387354.18016816,73155.8719016205,1395035.4045211,1529391.63333495,583761.625504313,372841.038645379,640843.124770727,2418183.81542888,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5830473C10Rik",5398060.37705205,1558979.95822558,856641.439831703,5427363.84775945,1181009.46360513,1783189.4571947,2074470.55050285,1784262.04218759,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6430531B16Rik",28137.1650027727,5882.20136182909,7820.84475124519,17436.7217150755,26411.2931681607,10581.8958563209,11694.2075221817,17186.3406224143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6820408C15Rik",800171.299237395,17647.9215801273,118096.61784824,459937.00111888,221175.272942039,188268.639030618,253155.61241288,197193.338085467,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9030624J02Rik",6804978.90425558,5669776.58100725,2655263.38472632,5396119.66174389,2899330.82167067,6320942.46760024,5156328.57303447,4362290.51757107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9130008F23Rik",803298.562957038,1122414.74521769,755556.565472496,1290845.0480494,615244.486314653,2401617.90007705,971008.999329064,1205468.25251977,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9230110C19Rik",189742.948958054,202123.707300641,50438.8290803778,173259.856645113,54321.677934165,74101.3674060754,80698.527686364,93572.4849892098,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9330182L06Rik",307309.194750278,149736.940913516,79569.1376321201,175822.405253823,173500.928207158,82795.9911571023,187075.924852238,117814.837447447,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A1cf",42920329.7112542,11088161.3678776,5625694.22927488,17788138.9695941,18931596.9559457,3508269.60485542,18884969.1441779,7973322.80237403,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"A230050P20Rik",6417298.70840194,3527764.76045034,1444311.94997652,3977610.34266282,3312759.34120961,1003893.22651556,3693990.96907548,2744294.74330398,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A2m",254224.933694104,275955.293802261,66012.286410679,375509.31286972,94639.2052616885,429047.093481176,181252.418135315,184761.718056067,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A330021E22Rik",2490381.6743261,3970474.18948645,11326261.858189,333830.141192145,41556096.4097321,39209.3081103601,14695274.4407638,949203.867440894,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A430105I19Rik",133434.91049843,290042.912019734,419765.186712547,5563.05023869392,2036354.59478541,1281.9041626104,803140.55105118,34661.1705313902,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A4gnt",27108.6490154228,69898.0163491784,10588.8313818203,23192.3530950072,17210.2039659824,10782.7405118376,38999.4716626526,11873.9339848121,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A630007B06Rik",136587.178334476,48332.4630858159,31817.6296445636,153197.208468942,166578.347337392,50762.2037865447,73863.1456273914,48559.7638250846,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A830010M20Rik",373072.424593975,216452.56484744,62804.8263307339,212708.361918975,312893.289980495,92622.9418868255,254502.848877044,152606.191877719,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
